headline,web_url,pub_date,byline,section,full_text
A Cheat Sheet to the Middle East’s Web of Friends and Enemies,https://www.nytimes.com/interactive/2024/04/20/opinion/a-visual-guide-to-the-middle-east.html,2024-04-20T11:00:45+0000,By Daniel Levy,Opinion,
"For Campus Protesters in Brussels, Familiar Methods, but Different Outcomes",https://www.nytimes.com/2024/06/16/world/europe/campus-protest-belgium-gaza.html,2024-06-16T09:00:34+0000,By Matina Stevis-Gridneff,World,
"In Gazan Neighborhood Hit by Airstrikes, Death and Despair Reign",https://www.nytimes.com/2023/11/01/world/middleeast/gaza-jabaliya-israel-airstrike.html,2023-11-01T22:18:11+0000,By Karen Zraick and Hiba Yazbek,World,
Where Antisemitism and Anti-Zionism Collide,https://www.nytimes.com/2024/03/11/opinion/antisemitism-vs-anti-zionism.html,2024-03-12T00:15:17+0000,By Michelle Goldberg,Opinion,
Where Antisemitism and Anti-Zionism Collide,https://www.nytimes.com/2024/03/11/opinion/antisemitism-vs-anti-zionism.html,2024-03-12T00:15:17+0000,By Michelle Goldberg,Opinion,
"As War Looms Over Mideast, Saudi Arabia Tries to Keep the Music Going",https://www.nytimes.com/2023/10/26/world/middleeast/saudi-arabia-israel-hamas-gaza-war.html,2023-10-26T17:08:03+0000,"By Vivian Nereim, Kate Kelly and Ahmed Al Omran",World,
What I’m Thinking About on the First Anniversary of the War,https://www.nytimes.com/2024/10/07/opinion/oct-7-anniversary-israel-hamas.html,2024-10-07T05:00:17+0000,By Thomas L. Friedman,Opinion,
"In Berkeley Public Schools, a War Gives Rise to Unusual Tensions",https://www.nytimes.com/2024/05/07/us/berkeley-schools-israel-hamas-war.html,2024-05-07T09:03:44+0000,By Kurt Streeter,U.S.,
Gaza Rescuers Go Missing on Mission to Save Girl Trapped in a Car,https://www.nytimes.com/2024/02/03/world/middleeast/hind-rajab-gaza-rescue.html,2024-02-03T17:15:29+0000,By Raja Abdulrahim,World,
Penn’s Leadership Under Fire From Prominent Donors,https://www.nytimes.com/2023/10/13/us/university-of-pennsylvania-israel-palestine.html,2023-10-13T23:38:59+0000,By Stephanie Saul,U.S.,
‘No More Safe Places in Gaza’: Evacuees Face Airstrikes in North and South,https://www.nytimes.com/2023/10/17/world/middleeast/gaza-evacuees-israel-airstrikes.html,2023-10-17T18:25:57+0000,"By Nicholas Casey, Monika Pronczuk and Aaron Boxerman",World,
"Two More Journalists Killed in Gaza, Including Son of Al Jazeera Reporter",https://www.nytimes.com/2024/01/07/world/middleeast/journalists-gaza-al-jazeera-reporter-son.html,2024-01-07T14:46:24+0000,By Vivian Yee and Ameera Harouda,World,
